,Tweet,Sentiment,Prediction,0.8695
0,During the coronavirus pandemic patient advocates can offer vital assistance to the families of those who are hos… ,Positive,Positive,0.8695
1,Troy Asset Management’s Trojan Income has become the first fund to be spared ejection from theUK Equity… ,Positive,Positive,0.8695
2, As compared to yourrun COVID19 death traps.Who was the first Governor to get the TrumpVirus… ,Positive,Positive,0.8695
3,What does the EU budget deal mean for development spending €10bn less than was proposed byeve… ,Negative,Neutral,0.8695
4,The science behind the Oxford vaccine Read this and more in today's TOICoronaLetter Your Covid19 daily briefin… ,Positive,Positive,0.8695
5,India Career in telemedicine A perfect option for students to future proof job post Covid19 ,Positive,Positive,0.8695
6,COVID19 No new positive cases since July 13 says NBACOVID19,Positive,Positive,0.8695
7, Me l do vct all the time but now lm scared to go to the clinic imagine going for a vct test and com… ,Neutral,Neutral,0.8695
8,COVID19 VID19 VID19,Neutral,Neutral,0.8695
9,I am producing a new play by Mark Lindow. A socially distanced community driven piece of outdoor theatre in respons… ,Positive,Positive,0.8695
10,Just incredible to see the progress we make each month with COVID19 treatment ,Positive,Positive,0.8695
11,"As for work apparel ""Polished Loungewear"" is the new ""Business Casual""thanks to COVID19",Negative,Positive,0.8695
12, We would expect tighter measures to follow. PartyCentral over on Thetislake in Colwood B.C.Dr Henr… ,Neutral,Neutral,0.8695
13, expert in crisis marketing talks to SME TV about what SMEs can try and do to get through COVID19.… ,Neutral,Neutral,0.8695
14,We the students are the future of our state our country. If we become victims of the deadly virus COVID19 and… ,Negative,Negative,0.8695
15,Till this time we all thought First World People were the civilised. But turns out they ain’t at all. COVID19,Positive,Positive,0.8695
16,Current corona crisis is a very critical time for everyone. We have to stay home to protect ourselves from COVID19… ,Neutral,Neutral,0.8695
17, Help get the various COVID19 bills including the HEROES Act Eviction Prevention the RELIEF Act by calli… ,Neutral,Neutral,0.8695
18, Such flaunting with COVID19 guidelines,Neutral,Neutral,0.8695
19,Is this allowed in COVID19 times.,Neutral,Neutral,0.8695
